total_elementwise_ops,total_reduction_ops,total_ops,total_memory_accesses_required,optimal_op_per_byte,output_activation_reg_intensity,input_activation_reg_intensity,weight_reg_intensity,pe_spad_intensity,inter_PE_spatial_intensity,shared_glb_intensity,DRAM_intensity,GFLOPs (@1GHz),Utilization (%),Cycles,Energy (uJ),EDP(J*cycle),Area (mm^2),Computes,mac fJ/compute,output_activation_reg fJ/compute,input_activation_reg fJ/compute,weight_reg fJ/compute,pe_spad fJ/compute,shared_glb fJ/compute,DRAM fJ/compute,Total fJ/compute,layer
464781312.0,464630016.0,929411328.0,3115776.0,149.15,"{'Total scalar accesses': 967689216.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 81699840.0, 'Op per Byte': 5.69}",{},"{'Total scalar accesses': 583941120.0, 'Op per Byte': 0.8}","{'Total scalar accesses': 7654656.0, 'Op per Byte': 60.71}",16.0,4.76,58097664.0,6229.13,362000.0,0.0,464781312.0,398.55,182.08,182.19,182.19,200.08,10149.1,2108.08,13402.28,ViT_56
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 233298432.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 3328512.0, 'Op per Byte': 34.89}",{},"{'Total scalar accesses': 131914752.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 3464448.0, 'Op per Byte': 33.52}",15.99,4.76,14524416.0,1622.29,23600.0,0.0,116195328.0,398.55,181.96,182.19,182.19,36.56,9163.91,3816.41,13961.78,ViT_57
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 233298432.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 3328512.0, 'Op per Byte': 34.89}",{},"{'Total scalar accesses': 131914752.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 3464448.0, 'Op per Byte': 33.52}",15.99,4.76,14524416.0,1622.29,23600.0,0.0,116195328.0,398.55,181.96,182.19,182.19,36.56,9163.91,3816.41,13961.78,ViT_58
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 233298432.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 3328512.0, 'Op per Byte': 34.89}",{},"{'Total scalar accesses': 131914752.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 3464448.0, 'Op per Byte': 33.52}",15.99,4.76,14524416.0,1622.29,23600.0,0.0,116195328.0,398.55,181.96,182.19,182.19,36.56,9163.91,3816.41,13961.78,ViT_59
151296.0,150528.0,301824.0,15740.0,9.59,"{'Total scalar accesses': 452352.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 302592.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 163904.0, 'Op per Byte': 0.92}","{'Total scalar accesses': 301824.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 21276.0, 'Op per Byte': 7.09}","{'Total scalar accesses': 15740.0, 'Op per Byte': 9.59}",15.96,4.76,18912.0,2.66,0.0503,0.0,151296.0,398.55,181.27,182.19,182.19,2219.45,1113.16,13316.41,17593.23,ViT_60
465708.0,463344.0,929052.0,43537.0,10.67,"{'Total scalar accesses': 1392396.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 931416.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 504517.0, 'Op per Byte': 0.92}","{'Total scalar accesses': 929052.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 468072.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 43537.0, 'Op per Byte': 10.67}",1.99,0.6,465708.0,10.83,5.04,0.0,465708.0,398.55,181.27,182.19,182.19,2219.45,8122.13,11966.98,23252.77,ViT_61
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 233298432.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 3328512.0, 'Op per Byte': 34.89}",{},"{'Total scalar accesses': 131914752.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 3464448.0, 'Op per Byte': 33.52}",15.99,4.76,14524416.0,1622.29,23600.0,0.0,116195328.0,398.55,181.96,182.19,182.19,36.56,9163.91,3816.41,13961.78,ViT_62
464781312.0,464176128.0,928957440.0,3115776.0,149.07,"{'Total scalar accesses': 941666304.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 31469568.0, 'Op per Byte': 14.76}",{},"{'Total scalar accesses': 583487232.0, 'Op per Byte': 0.8}","{'Total scalar accesses': 6746880.0, 'Op per Byte': 68.84}",15.99,4.76,58097664.0,6053.98,352000.0,0.0,464781312.0,398.55,181.72,182.19,182.19,79.97,10142.73,1858.08,13025.44,ViT_63
464781312.0,464630016.0,929411328.0,3115776.0,149.15,"{'Total scalar accesses': 967689216.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 81699840.0, 'Op per Byte': 5.69}",{},"{'Total scalar accesses': 583941120.0, 'Op per Byte': 0.8}","{'Total scalar accesses': 7654656.0, 'Op per Byte': 60.71}",16.0,4.76,58097664.0,6229.13,362000.0,0.0,464781312.0,398.55,182.08,182.19,182.19,200.08,10149.1,2108.08,13402.28,ViT_64
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 233298432.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 3328512.0, 'Op per Byte': 34.89}",{},"{'Total scalar accesses': 131914752.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 3464448.0, 'Op per Byte': 33.52}",15.99,4.76,14524416.0,1622.29,23600.0,0.0,116195328.0,398.55,181.96,182.19,182.19,36.56,9163.91,3816.41,13961.78,ViT_65
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 233298432.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 3328512.0, 'Op per Byte': 34.89}",{},"{'Total scalar accesses': 131914752.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 3464448.0, 'Op per Byte': 33.52}",15.99,4.76,14524416.0,1622.29,23600.0,0.0,116195328.0,398.55,181.96,182.19,182.19,36.56,9163.91,3816.41,13961.78,ViT_66
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 233298432.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 3328512.0, 'Op per Byte': 34.89}",{},"{'Total scalar accesses': 131914752.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 3464448.0, 'Op per Byte': 33.52}",15.99,4.76,14524416.0,1622.29,23600.0,0.0,116195328.0,398.55,181.96,182.19,182.19,36.56,9163.91,3816.41,13961.78,ViT_67
151296.0,150528.0,301824.0,15740.0,9.59,"{'Total scalar accesses': 452352.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 302592.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 163904.0, 'Op per Byte': 0.92}","{'Total scalar accesses': 301824.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 21276.0, 'Op per Byte': 7.09}","{'Total scalar accesses': 15740.0, 'Op per Byte': 9.59}",15.96,4.76,18912.0,2.66,0.0503,0.0,151296.0,398.55,181.27,182.19,182.19,2219.45,1113.16,13316.41,17593.23,ViT_68
465708.0,463344.0,929052.0,43537.0,10.67,"{'Total scalar accesses': 1392396.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 931416.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 504517.0, 'Op per Byte': 0.92}","{'Total scalar accesses': 929052.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 468072.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 43537.0, 'Op per Byte': 10.67}",1.99,0.6,465708.0,10.83,5.04,0.0,465708.0,398.55,181.27,182.19,182.19,2219.45,8122.13,11966.98,23252.77,ViT_69
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 233298432.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 3328512.0, 'Op per Byte': 34.89}",{},"{'Total scalar accesses': 131914752.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 3464448.0, 'Op per Byte': 33.52}",15.99,4.76,14524416.0,1622.29,23600.0,0.0,116195328.0,398.55,181.96,182.19,182.19,36.56,9163.91,3816.41,13961.78,ViT_70
464781312.0,464176128.0,928957440.0,3115776.0,149.07,"{'Total scalar accesses': 941666304.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 31469568.0, 'Op per Byte': 14.76}",{},"{'Total scalar accesses': 583487232.0, 'Op per Byte': 0.8}","{'Total scalar accesses': 6746880.0, 'Op per Byte': 68.84}",15.99,4.76,58097664.0,6053.98,352000.0,0.0,464781312.0,398.55,181.72,182.19,182.19,79.97,10142.73,1858.08,13025.44,ViT_71
464781312.0,464630016.0,929411328.0,3115776.0,149.15,"{'Total scalar accesses': 967689216.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 81699840.0, 'Op per Byte': 5.69}",{},"{'Total scalar accesses': 583941120.0, 'Op per Byte': 0.8}","{'Total scalar accesses': 7654656.0, 'Op per Byte': 60.71}",16.0,4.76,58097664.0,6229.13,362000.0,0.0,464781312.0,398.55,182.08,182.19,182.19,200.08,10149.1,2108.08,13402.28,ViT_72
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 233298432.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 3328512.0, 'Op per Byte': 34.89}",{},"{'Total scalar accesses': 131914752.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 3464448.0, 'Op per Byte': 33.52}",15.99,4.76,14524416.0,1622.29,23600.0,0.0,116195328.0,398.55,181.96,182.19,182.19,36.56,9163.91,3816.41,13961.78,ViT_73
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 233298432.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 3328512.0, 'Op per Byte': 34.89}",{},"{'Total scalar accesses': 131914752.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 3464448.0, 'Op per Byte': 33.52}",15.99,4.76,14524416.0,1622.29,23600.0,0.0,116195328.0,398.55,181.96,182.19,182.19,36.56,9163.91,3816.41,13961.78,ViT_74
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 233298432.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 3328512.0, 'Op per Byte': 34.89}",{},"{'Total scalar accesses': 131914752.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 3464448.0, 'Op per Byte': 33.52}",15.99,4.76,14524416.0,1622.29,23600.0,0.0,116195328.0,398.55,181.96,182.19,182.19,36.56,9163.91,3816.41,13961.78,ViT_75
151296.0,150528.0,301824.0,15740.0,9.59,"{'Total scalar accesses': 452352.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 302592.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 163904.0, 'Op per Byte': 0.92}","{'Total scalar accesses': 301824.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 21276.0, 'Op per Byte': 7.09}","{'Total scalar accesses': 15740.0, 'Op per Byte': 9.59}",15.96,4.76,18912.0,2.66,0.0503,0.0,151296.0,398.55,181.27,182.19,182.19,2219.45,1113.16,13316.41,17593.23,ViT_76
465708.0,463344.0,929052.0,43537.0,10.67,"{'Total scalar accesses': 1392396.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 931416.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 504517.0, 'Op per Byte': 0.92}","{'Total scalar accesses': 929052.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 468072.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 43537.0, 'Op per Byte': 10.67}",1.99,0.6,465708.0,10.83,5.04,0.0,465708.0,398.55,181.27,182.19,182.19,2219.45,8122.13,11966.98,23252.77,ViT_77
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 233298432.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 3328512.0, 'Op per Byte': 34.89}",{},"{'Total scalar accesses': 131914752.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 3464448.0, 'Op per Byte': 33.52}",15.99,4.76,14524416.0,1622.29,23600.0,0.0,116195328.0,398.55,181.96,182.19,182.19,36.56,9163.91,3816.41,13961.78,ViT_78
464781312.0,464176128.0,928957440.0,3115776.0,149.07,"{'Total scalar accesses': 941666304.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 31469568.0, 'Op per Byte': 14.76}",{},"{'Total scalar accesses': 583487232.0, 'Op per Byte': 0.8}","{'Total scalar accesses': 6746880.0, 'Op per Byte': 68.84}",15.99,4.76,58097664.0,6053.98,352000.0,0.0,464781312.0,398.55,181.72,182.19,182.19,79.97,10142.73,1858.08,13025.44,ViT_79
464781312.0,464630016.0,929411328.0,3115776.0,149.15,"{'Total scalar accesses': 967689216.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 81699840.0, 'Op per Byte': 5.69}",{},"{'Total scalar accesses': 583941120.0, 'Op per Byte': 0.8}","{'Total scalar accesses': 7654656.0, 'Op per Byte': 60.71}",16.0,4.76,58097664.0,6229.13,362000.0,0.0,464781312.0,398.55,182.08,182.19,182.19,200.08,10149.1,2108.08,13402.28,ViT_80
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 233298432.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 3328512.0, 'Op per Byte': 34.89}",{},"{'Total scalar accesses': 131914752.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 3464448.0, 'Op per Byte': 33.52}",15.99,4.76,14524416.0,1622.29,23600.0,0.0,116195328.0,398.55,181.96,182.19,182.19,36.56,9163.91,3816.41,13961.78,ViT_81
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 233298432.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 3328512.0, 'Op per Byte': 34.89}",{},"{'Total scalar accesses': 131914752.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 3464448.0, 'Op per Byte': 33.52}",15.99,4.76,14524416.0,1622.29,23600.0,0.0,116195328.0,398.55,181.96,182.19,182.19,36.56,9163.91,3816.41,13961.78,ViT_82
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 233298432.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 3328512.0, 'Op per Byte': 34.89}",{},"{'Total scalar accesses': 131914752.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 3464448.0, 'Op per Byte': 33.52}",15.99,4.76,14524416.0,1622.29,23600.0,0.0,116195328.0,398.55,181.96,182.19,182.19,36.56,9163.91,3816.41,13961.78,ViT_83
151296.0,150528.0,301824.0,15740.0,9.59,"{'Total scalar accesses': 452352.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 302592.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 163904.0, 'Op per Byte': 0.92}","{'Total scalar accesses': 301824.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 21276.0, 'Op per Byte': 7.09}","{'Total scalar accesses': 15740.0, 'Op per Byte': 9.59}",15.96,4.76,18912.0,2.66,0.0503,0.0,151296.0,398.55,181.27,182.19,182.19,2219.45,1113.16,13316.41,17593.23,ViT_84
465708.0,463344.0,929052.0,43537.0,10.67,"{'Total scalar accesses': 1392396.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 931416.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 504517.0, 'Op per Byte': 0.92}","{'Total scalar accesses': 929052.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 468072.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 43537.0, 'Op per Byte': 10.67}",1.99,0.6,465708.0,10.83,5.04,0.0,465708.0,398.55,181.27,182.19,182.19,2219.45,8122.13,11966.98,23252.77,ViT_85
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 233298432.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 3328512.0, 'Op per Byte': 34.89}",{},"{'Total scalar accesses': 131914752.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 3464448.0, 'Op per Byte': 33.52}",15.99,4.76,14524416.0,1622.29,23600.0,0.0,116195328.0,398.55,181.96,182.19,182.19,36.56,9163.91,3816.41,13961.78,ViT_86
464781312.0,464176128.0,928957440.0,3115776.0,149.07,"{'Total scalar accesses': 941666304.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 31469568.0, 'Op per Byte': 14.76}",{},"{'Total scalar accesses': 583487232.0, 'Op per Byte': 0.8}","{'Total scalar accesses': 6746880.0, 'Op per Byte': 68.84}",15.99,4.76,58097664.0,6053.98,352000.0,0.0,464781312.0,398.55,181.72,182.19,182.19,79.97,10142.73,1858.08,13025.44,ViT_87
464781312.0,464630016.0,929411328.0,3115776.0,149.15,"{'Total scalar accesses': 967689216.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 81699840.0, 'Op per Byte': 5.69}",{},"{'Total scalar accesses': 583941120.0, 'Op per Byte': 0.8}","{'Total scalar accesses': 7654656.0, 'Op per Byte': 60.71}",16.0,4.76,58097664.0,6229.13,362000.0,0.0,464781312.0,398.55,182.08,182.19,182.19,200.08,10149.1,2108.08,13402.28,ViT_88
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 233298432.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 3328512.0, 'Op per Byte': 34.89}",{},"{'Total scalar accesses': 131914752.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 3464448.0, 'Op per Byte': 33.52}",15.99,4.76,14524416.0,1622.29,23600.0,0.0,116195328.0,398.55,181.96,182.19,182.19,36.56,9163.91,3816.41,13961.78,ViT_89
