Conv2d|input_shape=(1, 3, 224, 224)|output_shape=(1, 768, 14, 14)|kernel_size=(16, 16)|stride=(16, 16)
Dropout|input_shape=(1, 197, 768)|output_shape=(1, 197, 768)
MultiheadAttention|input_shape=(1, 197, 768)|output_shape=(1, 197, 768)
Dropout|input_shape=(1, 197, 768)|output_shape=(1, 197, 768)
LayerNorm|input_shape=(1, 197, 768)|output_shape=(1, 197, 768)
Linear|input_shape=(1, 197, 768)|output_shape=(1, 197, 3072)|in_features=768|out_features=3072
GELU|input_shape=(1, 197, 3072)|output_shape=(1, 197, 3072)
Dropout|input_shape=(1, 197, 3072)|output_shape=(1, 197, 3072)
Linear|input_shape=(1, 197, 3072)|output_shape=(1, 197, 768)|in_features=3072|out_features=768
Dropout|input_shape=(1, 197, 768)|output_shape=(1, 197, 768)
EncoderBlock|input_shape=(1, 197, 768)|output_shape=(1, 197, 768)
LayerNorm|input_shape=(1, 197, 768)|output_shape=(1, 197, 768)
MultiheadAttention|input_shape=(1, 197, 768)|output_shape=(1, 197, 768)
Dropout|input_shape=(1, 197, 768)|output_shape=(1, 197, 768)
LayerNorm|input_shape=(1, 197, 768)|output_shape=(1, 197, 768)
Linear|input_shape=(1, 197, 768)|output_shape=(1, 197, 3072)|in_features=768|out_features=3072
GELU|input_shape=(1, 197, 3072)|output_shape=(1, 197, 3072)
Dropout|input_shape=(1, 197, 3072)|output_shape=(1, 197, 3072)
Linear|input_shape=(1, 197, 3072)|output_shape=(1, 197, 768)|in_features=3072|out_features=768
Dropout|input_shape=(1, 197, 768)|output_shape=(1, 197, 768)
EncoderBlock|input_shape=(1, 197, 768)|output_shape=(1, 197, 768)
LayerNorm|input_shape=(1, 197, 768)|output_shape=(1, 197, 768)
MultiheadAttention|input_shape=(1, 197, 768)|output_shape=(1, 197, 768)
Dropout|input_shape=(1, 197, 768)|output_shape=(1, 197, 768)
LayerNorm|input_shape=(1, 197, 768)|output_shape=(1, 197, 768)
Linear|input_shape=(1, 197, 768)|output_shape=(1, 197, 3072)|in_features=768|out_features=3072
GELU|input_shape=(1, 197, 3072)|output_shape=(1, 197, 3072)
Dropout|input_shape=(1, 197, 3072)|output_shape=(1, 197, 3072)
Linear|input_shape=(1, 197, 3072)|output_shape=(1, 197, 768)|in_features=3072|out_features=768
Dropout|input_shape=(1, 197, 768)|output_shape=(1, 197, 768)
EncoderBlock|input_shape=(1, 197, 768)|output_shape=(1, 197, 768)
LayerNorm|input_shape=(1, 197, 768)|output_shape=(1, 197, 768)
MultiheadAttention|input_shape=(1, 197, 768)|output_shape=(1, 197, 768)
Dropout|input_shape=(1, 197, 768)|output_shape=(1, 197, 768)
LayerNorm|input_shape=(1, 197, 768)|output_shape=(1, 197, 768)
Linear|input_shape=(1, 197, 768)|output_shape=(1, 197, 3072)|in_features=768|out_features=3072
GELU|input_shape=(1, 197, 3072)|output_shape=(1, 197, 3072)
Dropout|input_shape=(1, 197, 3072)|output_shape=(1, 197, 3072)
Linear|input_shape=(1, 197, 3072)|output_shape=(1, 197, 768)|in_features=3072|out_features=768
Dropout|input_shape=(1, 197, 768)|output_shape=(1, 197, 768)
EncoderBlock|input_shape=(1, 197, 768)|output_shape=(1, 197, 768)
LayerNorm|input_shape=(1, 197, 768)|output_shape=(1, 197, 768)
MultiheadAttention|input_shape=(1, 197, 768)|output_shape=(1, 197, 768)
Dropout|input_shape=(1, 197, 768)|output_shape=(1, 197, 768)
LayerNorm|input_shape=(1, 197, 768)|output_shape=(1, 197, 768)
Linear|input_shape=(1, 197, 768)|output_shape=(1, 197, 3072)|in_features=768|out_features=3072
GELU|input_shape=(1, 197, 3072)|output_shape=(1, 197, 3072)
Dropout|input_shape=(1, 197, 3072)|output_shape=(1, 197, 3072)
Linear|input_shape=(1, 197, 3072)|output_shape=(1, 197, 768)|in_features=3072|out_features=768
Dropout|input_shape=(1, 197, 768)|output_shape=(1, 197, 768)
EncoderBlock|input_shape=(1, 197, 768)|output_shape=(1, 197, 768)
LayerNorm|input_shape=(1, 197, 768)|output_shape=(1, 197, 768)
Encoder|input_shape=(1, 197, 768)|output_shape=(1, 197, 768)
Linear|input_shape=(1, 768)|output_shape=(1, 1000)|in_features=768|out_features=1000
