total_elementwise_ops,total_reduction_ops,total_ops,total_memory_accesses_required,optimal_op_per_byte,output_activation_reg_intensity,input_activation_reg_intensity,weight_reg_intensity,pe_spad_intensity,inter_PE_spatial_intensity,shared_glb_intensity,DRAM_intensity,GFLOPs (@1GHz),Utilization (%),Cycles,Energy (uJ),EDP(J*cycle),Area (mm^2),Computes,mac fJ/compute,output_activation_reg fJ/compute,input_activation_reg fJ/compute,weight_reg fJ/compute,pe_spad fJ/compute,shared_glb fJ/compute,DRAM fJ/compute,Total fJ/compute,layer
116195328.0,116044032.0,232239360.0,892416.0,260.24,"{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 1210368.0, 'Op per Byte': 95.94}",{},"{'Total scalar accesses': 127678464.0, 'Op per Byte': 0.91}","{'Total scalar accesses': 2254080.0, 'Op per Byte': 103.03}",29.52,2.88,7867392.0,1285.24,10100.0,0.0,116195328.0,398.55,181.72,182.2,182.2,13.96,8860.83,1241.54,11060.99,ViT_10
116195328.0,116044032.0,232239360.0,892416.0,260.24,"{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 1210368.0, 'Op per Byte': 95.94}",{},"{'Total scalar accesses': 127678464.0, 'Op per Byte': 0.91}","{'Total scalar accesses': 2254080.0, 'Op per Byte': 103.03}",29.52,2.88,7867392.0,1285.24,10100.0,0.0,116195328.0,398.55,181.72,182.2,182.2,13.96,8860.83,1241.54,11060.99,ViT_11
151296.0,150528.0,301824.0,15740.0,19.18,"{'Total scalar accesses': 452352.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 302592.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 163904.0, 'Op per Byte': 0.92}","{'Total scalar accesses': 301824.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 7092.0, 'Op per Byte': 21.28}","{'Total scalar accesses': 15740.0, 'Op per Byte': 19.18}",63.84,6.25,4728.0,1.54,0.00728,0.0,151296.0,398.55,181.27,182.19,182.19,2219.45,354.82,6659.9,10178.38,ViT_12
465708.0,463344.0,929052.0,43537.0,21.34,"{'Total scalar accesses': 1392396.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 931416.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 504517.0, 'Op per Byte': 0.92}","{'Total scalar accesses': 929052.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 468072.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 43537.0, 'Op per Byte': 21.34}",1.99,0.2,465708.0,8.04,3.75,0.0,465708.0,398.55,181.27,182.19,182.19,2219.45,8122.13,5983.77,17269.55,ViT_13
116195328.0,116044032.0,232239360.0,892416.0,260.24,"{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 1210368.0, 'Op per Byte': 95.94}",{},"{'Total scalar accesses': 127678464.0, 'Op per Byte': 0.91}","{'Total scalar accesses': 2254080.0, 'Op per Byte': 103.03}",29.52,2.88,7867392.0,1285.24,10100.0,0.0,116195328.0,398.55,181.72,182.2,182.2,13.96,8860.83,1241.54,11060.99,ViT_14
464781312.0,464176128.0,928957440.0,3115776.0,298.15,"{'Total scalar accesses': 946507776.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 55676928.0, 'Op per Byte': 8.34}",{},"{'Total scalar accesses': 527053824.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 5385216.0, 'Op per Byte': 172.5}",29.0,2.83,32036928.0,5093.52,163000.0,0.0,464781312.0,398.55,181.72,182.2,182.2,151.97,9120.79,741.54,10958.96,ViT_15
464781312.0,464630016.0,929411328.0,3115776.0,298.29,"{'Total scalar accesses': 936522240.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 21484032.0, 'Op per Byte': 21.63}",{},"{'Total scalar accesses': 512983296.0, 'Op per Byte': 0.91}","{'Total scalar accesses': 4931328.0, 'Op per Byte': 188.47}",29.69,2.9,31308816.0,4911.19,154000.0,0.0,464781312.0,398.55,182.14,182.19,182.19,58.45,8884.11,679.04,10566.67,ViT_16
116195328.0,116044032.0,232239360.0,892416.0,260.24,"{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 1210368.0, 'Op per Byte': 95.94}",{},"{'Total scalar accesses': 127678464.0, 'Op per Byte': 0.91}","{'Total scalar accesses': 2254080.0, 'Op per Byte': 103.03}",29.52,2.88,7867392.0,1285.24,10100.0,0.0,116195328.0,398.55,181.72,182.2,182.2,13.96,8860.83,1241.54,11060.99,ViT_17
116195328.0,116044032.0,232239360.0,892416.0,260.24,"{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 1210368.0, 'Op per Byte': 95.94}",{},"{'Total scalar accesses': 127678464.0, 'Op per Byte': 0.91}","{'Total scalar accesses': 2254080.0, 'Op per Byte': 103.03}",29.52,2.88,7867392.0,1285.24,10100.0,0.0,116195328.0,398.55,181.72,182.2,182.2,13.96,8860.83,1241.54,11060.99,ViT_18
116195328.0,116044032.0,232239360.0,892416.0,260.24,"{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 1210368.0, 'Op per Byte': 95.94}",{},"{'Total scalar accesses': 127678464.0, 'Op per Byte': 0.91}","{'Total scalar accesses': 2254080.0, 'Op per Byte': 103.03}",29.52,2.88,7867392.0,1285.24,10100.0,0.0,116195328.0,398.55,181.72,182.2,182.2,13.96,8860.83,1241.54,11060.99,ViT_19
151296.0,150528.0,301824.0,15740.0,19.18,"{'Total scalar accesses': 452352.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 302592.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 163904.0, 'Op per Byte': 0.92}","{'Total scalar accesses': 301824.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 7092.0, 'Op per Byte': 21.28}","{'Total scalar accesses': 15740.0, 'Op per Byte': 19.18}",63.84,6.25,4728.0,1.54,0.00728,0.0,151296.0,398.55,181.27,182.19,182.19,2219.45,354.82,6659.9,10178.38,ViT_20
465708.0,463344.0,929052.0,43537.0,21.34,"{'Total scalar accesses': 1392396.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 931416.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 504517.0, 'Op per Byte': 0.92}","{'Total scalar accesses': 929052.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 468072.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 43537.0, 'Op per Byte': 21.34}",1.99,0.2,465708.0,8.04,3.75,0.0,465708.0,398.55,181.27,182.19,182.19,2219.45,8122.13,5983.77,17269.55,ViT_21
116195328.0,116044032.0,232239360.0,892416.0,260.24,"{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 1210368.0, 'Op per Byte': 95.94}",{},"{'Total scalar accesses': 127678464.0, 'Op per Byte': 0.91}","{'Total scalar accesses': 2254080.0, 'Op per Byte': 103.03}",29.52,2.88,7867392.0,1285.24,10100.0,0.0,116195328.0,398.55,181.72,182.2,182.2,13.96,8860.83,1241.54,11060.99,ViT_22
464781312.0,464176128.0,928957440.0,3115776.0,298.15,"{'Total scalar accesses': 946507776.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 55676928.0, 'Op per Byte': 8.34}",{},"{'Total scalar accesses': 527053824.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 5385216.0, 'Op per Byte': 172.5}",29.0,2.83,32036928.0,5093.52,163000.0,0.0,464781312.0,398.55,181.72,182.2,182.2,151.97,9120.79,741.54,10958.96,ViT_23
464781312.0,464630016.0,929411328.0,3115776.0,298.29,"{'Total scalar accesses': 936522240.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 21484032.0, 'Op per Byte': 21.63}",{},"{'Total scalar accesses': 512983296.0, 'Op per Byte': 0.91}","{'Total scalar accesses': 4931328.0, 'Op per Byte': 188.47}",29.69,2.9,31308816.0,4911.19,154000.0,0.0,464781312.0,398.55,182.14,182.19,182.19,58.45,8884.11,679.04,10566.67,ViT_24
116195328.0,116044032.0,232239360.0,892416.0,260.24,"{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 1210368.0, 'Op per Byte': 95.94}",{},"{'Total scalar accesses': 127678464.0, 'Op per Byte': 0.91}","{'Total scalar accesses': 2254080.0, 'Op per Byte': 103.03}",29.52,2.88,7867392.0,1285.24,10100.0,0.0,116195328.0,398.55,181.72,182.2,182.2,13.96,8860.83,1241.54,11060.99,ViT_25
116195328.0,116044032.0,232239360.0,892416.0,260.24,"{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 1210368.0, 'Op per Byte': 95.94}",{},"{'Total scalar accesses': 127678464.0, 'Op per Byte': 0.91}","{'Total scalar accesses': 2254080.0, 'Op per Byte': 103.03}",29.52,2.88,7867392.0,1285.24,10100.0,0.0,116195328.0,398.55,181.72,182.2,182.2,13.96,8860.83,1241.54,11060.99,ViT_26
116195328.0,116044032.0,232239360.0,892416.0,260.24,"{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 1210368.0, 'Op per Byte': 95.94}",{},"{'Total scalar accesses': 127678464.0, 'Op per Byte': 0.91}","{'Total scalar accesses': 2254080.0, 'Op per Byte': 103.03}",29.52,2.88,7867392.0,1285.24,10100.0,0.0,116195328.0,398.55,181.72,182.2,182.2,13.96,8860.83,1241.54,11060.99,ViT_27
151296.0,150528.0,301824.0,15740.0,19.18,"{'Total scalar accesses': 452352.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 302592.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 163904.0, 'Op per Byte': 0.92}","{'Total scalar accesses': 301824.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 7092.0, 'Op per Byte': 21.28}","{'Total scalar accesses': 15740.0, 'Op per Byte': 19.18}",63.84,6.25,4728.0,1.54,0.00728,0.0,151296.0,398.55,181.27,182.19,182.19,2219.45,354.82,6659.9,10178.38,ViT_28
465708.0,463344.0,929052.0,43537.0,21.34,"{'Total scalar accesses': 1392396.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 931416.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 504517.0, 'Op per Byte': 0.92}","{'Total scalar accesses': 929052.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 468072.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 43537.0, 'Op per Byte': 21.34}",1.99,0.2,465708.0,8.04,3.75,0.0,465708.0,398.55,181.27,182.19,182.19,2219.45,8122.13,5983.77,17269.55,ViT_29
116195328.0,116044032.0,232239360.0,892416.0,260.24,"{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 1210368.0, 'Op per Byte': 95.94}",{},"{'Total scalar accesses': 127678464.0, 'Op per Byte': 0.91}","{'Total scalar accesses': 2254080.0, 'Op per Byte': 103.03}",29.52,2.88,7867392.0,1285.24,10100.0,0.0,116195328.0,398.55,181.72,182.2,182.2,13.96,8860.83,1241.54,11060.99,ViT_30
464781312.0,464176128.0,928957440.0,3115776.0,298.15,"{'Total scalar accesses': 946507776.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 55676928.0, 'Op per Byte': 8.34}",{},"{'Total scalar accesses': 527053824.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 5385216.0, 'Op per Byte': 172.5}",29.0,2.83,32036928.0,5093.52,163000.0,0.0,464781312.0,398.55,181.72,182.2,182.2,151.97,9120.79,741.54,10958.96,ViT_31
464781312.0,464630016.0,929411328.0,3115776.0,298.29,"{'Total scalar accesses': 936522240.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 21484032.0, 'Op per Byte': 21.63}",{},"{'Total scalar accesses': 512983296.0, 'Op per Byte': 0.91}","{'Total scalar accesses': 4931328.0, 'Op per Byte': 188.47}",29.69,2.9,31308816.0,4911.19,154000.0,0.0,464781312.0,398.55,182.14,182.19,182.19,58.45,8884.11,679.04,10566.67,ViT_32
116195328.0,116044032.0,232239360.0,892416.0,260.24,"{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 1210368.0, 'Op per Byte': 95.94}",{},"{'Total scalar accesses': 127678464.0, 'Op per Byte': 0.91}","{'Total scalar accesses': 2254080.0, 'Op per Byte': 103.03}",29.52,2.88,7867392.0,1285.24,10100.0,0.0,116195328.0,398.55,181.72,182.2,182.2,13.96,8860.83,1241.54,11060.99,ViT_33
116195328.0,116044032.0,232239360.0,892416.0,260.24,"{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 1210368.0, 'Op per Byte': 95.94}",{},"{'Total scalar accesses': 127678464.0, 'Op per Byte': 0.91}","{'Total scalar accesses': 2254080.0, 'Op per Byte': 103.03}",29.52,2.88,7867392.0,1285.24,10100.0,0.0,116195328.0,398.55,181.72,182.2,182.2,13.96,8860.83,1241.54,11060.99,ViT_34
116195328.0,116044032.0,232239360.0,892416.0,260.24,"{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 1210368.0, 'Op per Byte': 95.94}",{},"{'Total scalar accesses': 127678464.0, 'Op per Byte': 0.91}","{'Total scalar accesses': 2254080.0, 'Op per Byte': 103.03}",29.52,2.88,7867392.0,1285.24,10100.0,0.0,116195328.0,398.55,181.72,182.2,182.2,13.96,8860.83,1241.54,11060.99,ViT_35
151296.0,150528.0,301824.0,15740.0,19.18,"{'Total scalar accesses': 452352.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 302592.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 163904.0, 'Op per Byte': 0.92}","{'Total scalar accesses': 301824.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 7092.0, 'Op per Byte': 21.28}","{'Total scalar accesses': 15740.0, 'Op per Byte': 19.18}",63.84,6.25,4728.0,1.54,0.00728,0.0,151296.0,398.55,181.27,182.19,182.19,2219.45,354.82,6659.9,10178.38,ViT_36
465708.0,463344.0,929052.0,43537.0,21.34,"{'Total scalar accesses': 1392396.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 931416.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 504517.0, 'Op per Byte': 0.92}","{'Total scalar accesses': 929052.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 468072.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 43537.0, 'Op per Byte': 21.34}",1.99,0.2,465708.0,8.04,3.75,0.0,465708.0,398.55,181.27,182.19,182.19,2219.45,8122.13,5983.77,17269.55,ViT_37
116195328.0,116044032.0,232239360.0,892416.0,260.24,"{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 1210368.0, 'Op per Byte': 95.94}",{},"{'Total scalar accesses': 127678464.0, 'Op per Byte': 0.91}","{'Total scalar accesses': 2254080.0, 'Op per Byte': 103.03}",29.52,2.88,7867392.0,1285.24,10100.0,0.0,116195328.0,398.55,181.72,182.2,182.2,13.96,8860.83,1241.54,11060.99,ViT_38
464781312.0,464176128.0,928957440.0,3115776.0,298.15,"{'Total scalar accesses': 946507776.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 55676928.0, 'Op per Byte': 8.34}",{},"{'Total scalar accesses': 527053824.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 5385216.0, 'Op per Byte': 172.5}",29.0,2.83,32036928.0,5093.52,163000.0,0.0,464781312.0,398.55,181.72,182.2,182.2,151.97,9120.79,741.54,10958.96,ViT_39
464781312.0,464630016.0,929411328.0,3115776.0,298.29,"{'Total scalar accesses': 936522240.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 21484032.0, 'Op per Byte': 21.63}",{},"{'Total scalar accesses': 512983296.0, 'Op per Byte': 0.91}","{'Total scalar accesses': 4931328.0, 'Op per Byte': 188.47}",29.69,2.9,31308816.0,4911.19,154000.0,0.0,464781312.0,398.55,182.14,182.19,182.19,58.45,8884.11,679.04,10566.67,ViT_40
116195328.0,116044032.0,232239360.0,892416.0,260.24,"{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 1210368.0, 'Op per Byte': 95.94}",{},"{'Total scalar accesses': 127678464.0, 'Op per Byte': 0.91}","{'Total scalar accesses': 2254080.0, 'Op per Byte': 103.03}",29.52,2.88,7867392.0,1285.24,10100.0,0.0,116195328.0,398.55,181.72,182.2,182.2,13.96,8860.83,1241.54,11060.99,ViT_41
116195328.0,116044032.0,232239360.0,892416.0,260.24,"{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 1210368.0, 'Op per Byte': 95.94}",{},"{'Total scalar accesses': 127678464.0, 'Op per Byte': 0.91}","{'Total scalar accesses': 2254080.0, 'Op per Byte': 103.03}",29.52,2.88,7867392.0,1285.24,10100.0,0.0,116195328.0,398.55,181.72,182.2,182.2,13.96,8860.83,1241.54,11060.99,ViT_42
116195328.0,116044032.0,232239360.0,892416.0,260.24,"{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 1210368.0, 'Op per Byte': 95.94}",{},"{'Total scalar accesses': 127678464.0, 'Op per Byte': 0.91}","{'Total scalar accesses': 2254080.0, 'Op per Byte': 103.03}",29.52,2.88,7867392.0,1285.24,10100.0,0.0,116195328.0,398.55,181.72,182.2,182.2,13.96,8860.83,1241.54,11060.99,ViT_43
