total_elementwise_ops,total_reduction_ops,total_ops,total_memory_accesses_required,optimal_op_per_byte,psum_spad_intensity,weights_spad_intensity,ifmap_spad_intensity,inter_PE_spatial_intensity,inter_PE_column_spatial_intensity,shared_glb_intensity,DRAM_intensity,GFLOPs (@1GHz),Utilization (%),Cycles,Energy (uJ),EDP(J*cycle),Area (mm^2),Computes,mac fJ/compute,psum_spad fJ/compute,weights_spad fJ/compute,ifmap_spad fJ/compute,shared_glb fJ/compute,DRAM fJ/compute,Total fJ/compute,layer
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 241468416.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 145244160.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 13767936.0, 'Op per Byte': 16.87}","{'Total scalar accesses': 1346304.0, 'Op per Byte': 86.25}",31.98,9.52,7262208.0,1061.34,7710.0,0.0,116195328.0,262.78,3527.8,2504.45,1109.99,245.97,1483.08,9134.07,ViT_10
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 241468416.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 145244160.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 13767936.0, 'Op per Byte': 16.87}","{'Total scalar accesses': 1346304.0, 'Op per Byte': 86.25}",31.98,9.52,7262208.0,1061.34,7710.0,0.0,116195328.0,262.78,3527.8,2504.45,1109.99,245.97,1483.08,9134.07,ViT_11
151296.0,150528.0,301824.0,15740.0,9.59,"{'Total scalar accesses': 452352.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 163904.0, 'Op per Byte': 1.84}","{'Total scalar accesses': 189120.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 306552.0, 'Op per Byte': 0.98}","{'Total scalar accesses': 15740.0, 'Op per Byte': 9.59}",31.43,9.38,9604.0,4.0,0.0384,0.0,151296.0,262.78,4969.24,2689.84,1110.01,4092.27,13316.41,26440.55,ViT_12
465708.0,463344.0,929052.0,43537.0,10.67,"{'Total scalar accesses': 1392396.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 504517.0, 'Op per Byte': 1.84}","{'Total scalar accesses': 931416.0, 'Op per Byte': 1.0}",{},{},"{'Total scalar accesses': 1397124.0, 'Op per Byte': 0.66}","{'Total scalar accesses': 43537.0, 'Op per Byte': 10.67}",1.99,0.6,465708.0,13.0,6.05,0.0,465708.0,262.78,4969.22,2689.79,1703.1,6316.32,11966.98,27908.19,ViT_13
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 241468416.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 145244160.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 13767936.0, 'Op per Byte': 16.87}","{'Total scalar accesses': 1346304.0, 'Op per Byte': 86.25}",31.98,9.52,7262208.0,1061.34,7710.0,0.0,116195328.0,262.78,3527.8,2504.45,1109.99,245.97,1483.08,9134.07,ViT_14
464781312.0,464176128.0,928957440.0,3115776.0,149.07,"{'Total scalar accesses': 1043337216.0, 'Op per Byte': 0.45}","{'Total scalar accesses': 467140608.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 580976640.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 131022336.0, 'Op per Byte': 7.09}","{'Total scalar accesses': 3872256.0, 'Op per Byte': 119.95}",31.98,9.52,29048832.0,4328.01,126000.0,0.0,464781312.0,262.78,3791.41,2504.45,1109.99,576.9,1066.41,9311.94,ViT_15
464781312.0,464630016.0,929411328.0,3115776.0,149.15,"{'Total scalar accesses': 985239552.0, 'Op per Byte': 0.47}","{'Total scalar accesses': 467140608.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 619708416.0, 'Op per Byte': 1.5}",{},{},"{'Total scalar accesses': 93198336.0, 'Op per Byte': 9.97}","{'Total scalar accesses': 4628736.0, 'Op per Byte': 100.4}",31.99,9.52,29048832.0,4303.09,125000.0,0.0,464781312.0,262.78,3593.7,2504.45,1175.89,446.75,1274.75,9258.32,ViT_16
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 241468416.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 145244160.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 13767936.0, 'Op per Byte': 16.87}","{'Total scalar accesses': 1346304.0, 'Op per Byte': 86.25}",31.98,9.52,7262208.0,1061.34,7710.0,0.0,116195328.0,262.78,3527.8,2504.45,1109.99,245.97,1483.08,9134.07,ViT_17
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 241468416.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 145244160.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 13767936.0, 'Op per Byte': 16.87}","{'Total scalar accesses': 1346304.0, 'Op per Byte': 86.25}",31.98,9.52,7262208.0,1061.34,7710.0,0.0,116195328.0,262.78,3527.8,2504.45,1109.99,245.97,1483.08,9134.07,ViT_18
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 241468416.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 145244160.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 13767936.0, 'Op per Byte': 16.87}","{'Total scalar accesses': 1346304.0, 'Op per Byte': 86.25}",31.98,9.52,7262208.0,1061.34,7710.0,0.0,116195328.0,262.78,3527.8,2504.45,1109.99,245.97,1483.08,9134.07,ViT_19
151296.0,150528.0,301824.0,15740.0,9.59,"{'Total scalar accesses': 452352.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 163904.0, 'Op per Byte': 1.84}","{'Total scalar accesses': 189120.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 306552.0, 'Op per Byte': 0.98}","{'Total scalar accesses': 15740.0, 'Op per Byte': 9.59}",31.43,9.38,9604.0,4.0,0.0384,0.0,151296.0,262.78,4969.24,2689.84,1110.01,4092.27,13316.41,26440.55,ViT_20
465708.0,463344.0,929052.0,43537.0,10.67,"{'Total scalar accesses': 1392396.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 504517.0, 'Op per Byte': 1.84}","{'Total scalar accesses': 931416.0, 'Op per Byte': 1.0}",{},{},"{'Total scalar accesses': 1397124.0, 'Op per Byte': 0.66}","{'Total scalar accesses': 43537.0, 'Op per Byte': 10.67}",1.99,0.6,465708.0,13.0,6.05,0.0,465708.0,262.78,4969.22,2689.79,1703.1,6316.32,11966.98,27908.19,ViT_21
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 241468416.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 145244160.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 13767936.0, 'Op per Byte': 16.87}","{'Total scalar accesses': 1346304.0, 'Op per Byte': 86.25}",31.98,9.52,7262208.0,1061.34,7710.0,0.0,116195328.0,262.78,3527.8,2504.45,1109.99,245.97,1483.08,9134.07,ViT_22
464781312.0,464176128.0,928957440.0,3115776.0,149.07,"{'Total scalar accesses': 1043337216.0, 'Op per Byte': 0.45}","{'Total scalar accesses': 467140608.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 580976640.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 131022336.0, 'Op per Byte': 7.09}","{'Total scalar accesses': 3872256.0, 'Op per Byte': 119.95}",31.98,9.52,29048832.0,4328.01,126000.0,0.0,464781312.0,262.78,3791.41,2504.45,1109.99,576.9,1066.41,9311.94,ViT_23
464781312.0,464630016.0,929411328.0,3115776.0,149.15,"{'Total scalar accesses': 985239552.0, 'Op per Byte': 0.47}","{'Total scalar accesses': 467140608.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 619708416.0, 'Op per Byte': 1.5}",{},{},"{'Total scalar accesses': 93198336.0, 'Op per Byte': 9.97}","{'Total scalar accesses': 4628736.0, 'Op per Byte': 100.4}",31.99,9.52,29048832.0,4303.09,125000.0,0.0,464781312.0,262.78,3593.7,2504.45,1175.89,446.75,1274.75,9258.32,ViT_24
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 241468416.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 145244160.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 13767936.0, 'Op per Byte': 16.87}","{'Total scalar accesses': 1346304.0, 'Op per Byte': 86.25}",31.98,9.52,7262208.0,1061.34,7710.0,0.0,116195328.0,262.78,3527.8,2504.45,1109.99,245.97,1483.08,9134.07,ViT_25
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 241468416.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 145244160.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 13767936.0, 'Op per Byte': 16.87}","{'Total scalar accesses': 1346304.0, 'Op per Byte': 86.25}",31.98,9.52,7262208.0,1061.34,7710.0,0.0,116195328.0,262.78,3527.8,2504.45,1109.99,245.97,1483.08,9134.07,ViT_26
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 241468416.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 145244160.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 13767936.0, 'Op per Byte': 16.87}","{'Total scalar accesses': 1346304.0, 'Op per Byte': 86.25}",31.98,9.52,7262208.0,1061.34,7710.0,0.0,116195328.0,262.78,3527.8,2504.45,1109.99,245.97,1483.08,9134.07,ViT_27
151296.0,150528.0,301824.0,15740.0,9.59,"{'Total scalar accesses': 452352.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 163904.0, 'Op per Byte': 1.84}","{'Total scalar accesses': 189120.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 306552.0, 'Op per Byte': 0.98}","{'Total scalar accesses': 15740.0, 'Op per Byte': 9.59}",31.43,9.38,9604.0,4.0,0.0384,0.0,151296.0,262.78,4969.24,2689.84,1110.01,4092.27,13316.41,26440.55,ViT_28
465708.0,463344.0,929052.0,43537.0,10.67,"{'Total scalar accesses': 1392396.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 504517.0, 'Op per Byte': 1.84}","{'Total scalar accesses': 931416.0, 'Op per Byte': 1.0}",{},{},"{'Total scalar accesses': 1397124.0, 'Op per Byte': 0.66}","{'Total scalar accesses': 43537.0, 'Op per Byte': 10.67}",1.99,0.6,465708.0,13.0,6.05,0.0,465708.0,262.78,4969.22,2689.79,1703.1,6316.32,11966.98,27908.19,ViT_29
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 241468416.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 145244160.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 13767936.0, 'Op per Byte': 16.87}","{'Total scalar accesses': 1346304.0, 'Op per Byte': 86.25}",31.98,9.52,7262208.0,1061.34,7710.0,0.0,116195328.0,262.78,3527.8,2504.45,1109.99,245.97,1483.08,9134.07,ViT_30
464781312.0,464176128.0,928957440.0,3115776.0,149.07,"{'Total scalar accesses': 1043337216.0, 'Op per Byte': 0.45}","{'Total scalar accesses': 467140608.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 580976640.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 131022336.0, 'Op per Byte': 7.09}","{'Total scalar accesses': 3872256.0, 'Op per Byte': 119.95}",31.98,9.52,29048832.0,4328.01,126000.0,0.0,464781312.0,262.78,3791.41,2504.45,1109.99,576.9,1066.41,9311.94,ViT_31
464781312.0,464630016.0,929411328.0,3115776.0,149.15,"{'Total scalar accesses': 985239552.0, 'Op per Byte': 0.47}","{'Total scalar accesses': 467140608.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 619708416.0, 'Op per Byte': 1.5}",{},{},"{'Total scalar accesses': 93198336.0, 'Op per Byte': 9.97}","{'Total scalar accesses': 4628736.0, 'Op per Byte': 100.4}",31.99,9.52,29048832.0,4303.09,125000.0,0.0,464781312.0,262.78,3593.7,2504.45,1175.89,446.75,1274.75,9258.32,ViT_32
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 241468416.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 145244160.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 13767936.0, 'Op per Byte': 16.87}","{'Total scalar accesses': 1346304.0, 'Op per Byte': 86.25}",31.98,9.52,7262208.0,1061.34,7710.0,0.0,116195328.0,262.78,3527.8,2504.45,1109.99,245.97,1483.08,9134.07,ViT_33
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 241468416.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 145244160.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 13767936.0, 'Op per Byte': 16.87}","{'Total scalar accesses': 1346304.0, 'Op per Byte': 86.25}",31.98,9.52,7262208.0,1061.34,7710.0,0.0,116195328.0,262.78,3527.8,2504.45,1109.99,245.97,1483.08,9134.07,ViT_34
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 241468416.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 145244160.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 13767936.0, 'Op per Byte': 16.87}","{'Total scalar accesses': 1346304.0, 'Op per Byte': 86.25}",31.98,9.52,7262208.0,1061.34,7710.0,0.0,116195328.0,262.78,3527.8,2504.45,1109.99,245.97,1483.08,9134.07,ViT_35
151296.0,150528.0,301824.0,15740.0,9.59,"{'Total scalar accesses': 452352.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 163904.0, 'Op per Byte': 1.84}","{'Total scalar accesses': 189120.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 306552.0, 'Op per Byte': 0.98}","{'Total scalar accesses': 15740.0, 'Op per Byte': 9.59}",31.43,9.38,9604.0,4.0,0.0384,0.0,151296.0,262.78,4969.24,2689.84,1110.01,4092.27,13316.41,26440.55,ViT_36
465708.0,463344.0,929052.0,43537.0,10.67,"{'Total scalar accesses': 1392396.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 504517.0, 'Op per Byte': 1.84}","{'Total scalar accesses': 931416.0, 'Op per Byte': 1.0}",{},{},"{'Total scalar accesses': 1397124.0, 'Op per Byte': 0.66}","{'Total scalar accesses': 43537.0, 'Op per Byte': 10.67}",1.99,0.6,465708.0,13.0,6.05,0.0,465708.0,262.78,4969.22,2689.79,1703.1,6316.32,11966.98,27908.19,ViT_37
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 241468416.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 145244160.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 13767936.0, 'Op per Byte': 16.87}","{'Total scalar accesses': 1346304.0, 'Op per Byte': 86.25}",31.98,9.52,7262208.0,1061.34,7710.0,0.0,116195328.0,262.78,3527.8,2504.45,1109.99,245.97,1483.08,9134.07,ViT_38
464781312.0,464176128.0,928957440.0,3115776.0,149.07,"{'Total scalar accesses': 1043337216.0, 'Op per Byte': 0.45}","{'Total scalar accesses': 467140608.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 580976640.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 131022336.0, 'Op per Byte': 7.09}","{'Total scalar accesses': 3872256.0, 'Op per Byte': 119.95}",31.98,9.52,29048832.0,4328.01,126000.0,0.0,464781312.0,262.78,3791.41,2504.45,1109.99,576.9,1066.41,9311.94,ViT_39
464781312.0,464630016.0,929411328.0,3115776.0,149.15,"{'Total scalar accesses': 985239552.0, 'Op per Byte': 0.47}","{'Total scalar accesses': 467140608.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 619708416.0, 'Op per Byte': 1.5}",{},{},"{'Total scalar accesses': 93198336.0, 'Op per Byte': 9.97}","{'Total scalar accesses': 4628736.0, 'Op per Byte': 100.4}",31.99,9.52,29048832.0,4303.09,125000.0,0.0,464781312.0,262.78,3593.7,2504.45,1175.89,446.75,1274.75,9258.32,ViT_40
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 241468416.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 145244160.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 13767936.0, 'Op per Byte': 16.87}","{'Total scalar accesses': 1346304.0, 'Op per Byte': 86.25}",31.98,9.52,7262208.0,1061.34,7710.0,0.0,116195328.0,262.78,3527.8,2504.45,1109.99,245.97,1483.08,9134.07,ViT_41
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 241468416.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 145244160.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 13767936.0, 'Op per Byte': 16.87}","{'Total scalar accesses': 1346304.0, 'Op per Byte': 86.25}",31.98,9.52,7262208.0,1061.34,7710.0,0.0,116195328.0,262.78,3527.8,2504.45,1109.99,245.97,1483.08,9134.07,ViT_42
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 241468416.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 145244160.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 13767936.0, 'Op per Byte': 16.87}","{'Total scalar accesses': 1346304.0, 'Op per Byte': 86.25}",31.98,9.52,7262208.0,1061.34,7710.0,0.0,116195328.0,262.78,3527.8,2504.45,1109.99,245.97,1483.08,9134.07,ViT_43
151296.0,150528.0,301824.0,15740.0,9.59,"{'Total scalar accesses': 452352.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 163904.0, 'Op per Byte': 1.84}","{'Total scalar accesses': 189120.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 306552.0, 'Op per Byte': 0.98}","{'Total scalar accesses': 15740.0, 'Op per Byte': 9.59}",31.43,9.38,9604.0,4.0,0.0384,0.0,151296.0,262.78,4969.24,2689.84,1110.01,4092.27,13316.41,26440.55,ViT_44
465708.0,463344.0,929052.0,43537.0,10.67,"{'Total scalar accesses': 1392396.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 504517.0, 'Op per Byte': 1.84}","{'Total scalar accesses': 931416.0, 'Op per Byte': 1.0}",{},{},"{'Total scalar accesses': 1397124.0, 'Op per Byte': 0.66}","{'Total scalar accesses': 43537.0, 'Op per Byte': 10.67}",1.99,0.6,465708.0,13.0,6.05,0.0,465708.0,262.78,4969.22,2689.79,1703.1,6316.32,11966.98,27908.19,ViT_45
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 241468416.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 145244160.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 13767936.0, 'Op per Byte': 16.87}","{'Total scalar accesses': 1346304.0, 'Op per Byte': 86.25}",31.98,9.52,7262208.0,1061.34,7710.0,0.0,116195328.0,262.78,3527.8,2504.45,1109.99,245.97,1483.08,9134.07,ViT_46
464781312.0,464176128.0,928957440.0,3115776.0,149.07,"{'Total scalar accesses': 1043337216.0, 'Op per Byte': 0.45}","{'Total scalar accesses': 467140608.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 580976640.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 131022336.0, 'Op per Byte': 7.09}","{'Total scalar accesses': 3872256.0, 'Op per Byte': 119.95}",31.98,9.52,29048832.0,4328.01,126000.0,0.0,464781312.0,262.78,3791.41,2504.45,1109.99,576.9,1066.41,9311.94,ViT_47
464781312.0,464630016.0,929411328.0,3115776.0,149.15,"{'Total scalar accesses': 985239552.0, 'Op per Byte': 0.47}","{'Total scalar accesses': 467140608.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 619708416.0, 'Op per Byte': 1.5}",{},{},"{'Total scalar accesses': 93198336.0, 'Op per Byte': 9.97}","{'Total scalar accesses': 4628736.0, 'Op per Byte': 100.4}",31.99,9.52,29048832.0,4303.09,125000.0,0.0,464781312.0,262.78,3593.7,2504.45,1175.89,446.75,1274.75,9258.32,ViT_48
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 241468416.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 145244160.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 13767936.0, 'Op per Byte': 16.87}","{'Total scalar accesses': 1346304.0, 'Op per Byte': 86.25}",31.98,9.52,7262208.0,1061.34,7710.0,0.0,116195328.0,262.78,3527.8,2504.45,1109.99,245.97,1483.08,9134.07,ViT_49
