total_elementwise_ops,total_reduction_ops,total_ops,total_memory_accesses_required,optimal_op_per_byte,output_activation_reg_intensity,input_activation_reg_intensity,weight_reg_intensity,pe_spad_intensity,inter_PE_spatial_intensity,shared_glb_intensity,DRAM_intensity,GFLOPs (@1GHz),Utilization (%),Cycles,Energy (uJ),EDP(J*cycle),Area (mm^2),Computes,mac fJ/compute,output_activation_reg fJ/compute,input_activation_reg fJ/compute,weight_reg fJ/compute,pe_spad fJ/compute,shared_glb fJ/compute,DRAM fJ/compute,Total fJ/compute,layer
19267584.0,18866176.0,38133760.0,417995.0,45.62,"{'Total scalar accesses': 56999936.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 38535168.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 19660800.0, 'Op per Byte': 0.97}","{'Total scalar accesses': 39337984.0, 'Op per Byte': 0.48}",{},"{'Total scalar accesses': 4437512.0, 'Op per Byte': 4.3}","{'Total scalar accesses': 431624.0, 'Op per Byte': 44.17}",31.67,9.52,1204224.0,151.17,182.0,0.0,19267584.0,398.55,178.4,182.19,182.19,2306.71,1730.37,2867.4,7845.82,ConvNeXt_00
2517630976.0,2517229568.0,5034860544.0,1696256.0,1484.11,"{'Total scalar accesses': 7551287296.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 5035261952.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 2562588672.0, 'Op per Byte': 0.98}","{'Total scalar accesses': 5059346432.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 394674176.0, 'Op per Byte': 6.38}","{'Total scalar accesses': 10125312.0, 'Op per Byte': 248.63}",32.0,9.52,157351936.0,12466.57,1960000.0,0.0,2517630976.0,398.55,182.14,182.19,182.19,2238.04,1253.8,514.79,4951.71,ConvNeXt_01
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 8512.0, 'Op per Byte': 0.37}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}",{},{},"{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",31.71,9.52,196.0,0.43,8.34e-05,0.0,3136.0,398.55,156.17,182.19,182.19,2128.49,0.21,132571.43,135619.24,ConvNeXt_02
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 8512.0, 'Op per Byte': 0.37}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}",{},{},"{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",31.71,9.52,196.0,0.43,8.34e-05,0.0,3136.0,398.55,156.17,182.19,182.19,2128.49,0.21,132571.43,135619.24,ConvNeXt_03
2517630976.0,2517229568.0,5034860544.0,1696256.0,1484.11,"{'Total scalar accesses': 7551287296.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 5035261952.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 2562588672.0, 'Op per Byte': 0.98}","{'Total scalar accesses': 5059346432.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 394674176.0, 'Op per Byte': 6.38}","{'Total scalar accesses': 10125312.0, 'Op per Byte': 248.63}",32.0,9.52,157351936.0,12466.57,1960000.0,0.0,2517630976.0,398.55,182.14,182.19,182.19,2238.04,1253.8,514.79,4951.71,ConvNeXt_04
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 8512.0, 'Op per Byte': 0.37}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}",{},{},"{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",31.71,9.52,196.0,0.43,8.34e-05,0.0,3136.0,398.55,156.17,182.19,182.19,2128.49,0.21,132571.43,135619.24,ConvNeXt_05
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 8512.0, 'Op per Byte': 0.37}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}",{},{},"{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",31.71,9.52,196.0,0.43,8.34e-05,0.0,3136.0,398.55,156.17,182.19,182.19,2128.49,0.21,132571.43,135619.24,ConvNeXt_06
2517630976.0,2517229568.0,5034860544.0,1696256.0,1484.11,"{'Total scalar accesses': 7551287296.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 5035261952.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 2562588672.0, 'Op per Byte': 0.98}","{'Total scalar accesses': 5059346432.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 394674176.0, 'Op per Byte': 6.38}","{'Total scalar accesses': 10125312.0, 'Op per Byte': 248.63}",32.0,9.52,157351936.0,12466.57,1960000.0,0.0,2517630976.0,398.55,182.14,182.19,182.19,2238.04,1253.8,514.79,4951.71,ConvNeXt_07
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 8512.0, 'Op per Byte': 0.37}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}",{},{},"{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",31.71,9.52,196.0,0.43,8.34e-05,0.0,3136.0,398.55,156.17,182.19,182.19,2128.49,0.21,132571.43,135619.24,ConvNeXt_08
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 8512.0, 'Op per Byte': 0.37}","{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 5824.0, 'Op per Byte': 0.53}",{},{},"{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",31.71,9.52,196.0,0.43,8.34e-05,0.0,3136.0,398.55,156.17,182.19,182.19,2128.49,0.21,132571.43,135619.24,ConvNeXt_09
102760448.0,102559744.0,205320192.0,439424.0,233.62,"{'Total scalar accesses': 307879936.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 205520896.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 115605504.0, 'Op per Byte': 0.89}","{'Total scalar accesses': 205320192.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 20704768.0, 'Op per Byte': 4.96}","{'Total scalar accesses': 1637888.0, 'Op per Byte': 62.68}",31.97,9.52,6422528.0,700.22,4500.0,0.0,102760448.0,398.55,181.84,182.19,182.19,2221.51,1607.6,2040.18,6814.07,ConvNeXt_10
196.0,182.0,378.0,224.0,0.84,"{'Total scalar accesses': 378.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 392.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 392.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 14.0, 'Op per Byte': 13.5}",{},{},"{'Total scalar accesses': 224.0, 'Op per Byte': 0.84}",27.0,8.33,14.0,0.03,4.11e-07,0.0,196.0,398.55,169.18,182.19,182.19,111.64,0.24,148897.96,149941.96,ConvNeXt_100
196.0,182.0,378.0,224.0,0.84,"{'Total scalar accesses': 378.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 392.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 392.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 14.0, 'Op per Byte': 13.5}",{},{},"{'Total scalar accesses': 224.0, 'Op per Byte': 0.84}",27.0,8.33,14.0,0.03,4.11e-07,0.0,196.0,398.55,169.18,182.19,182.19,111.64,0.24,148897.96,149941.96,ConvNeXt_101
102760448.0,102710272.0,205470720.0,2180096.0,47.12,"{'Total scalar accesses': 308180992.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 205520896.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 104857600.0, 'Op per Byte': 0.98}","{'Total scalar accesses': 205621248.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 6479872.0, 'Op per Byte': 15.85}","{'Total scalar accesses': 2505728.0, 'Op per Byte': 41.0}",31.99,9.52,6422528.0,698.79,4490.0,0.0,102760448.0,398.55,182.11,182.19,182.19,2224.77,509.21,3121.17,6800.19,ConvNeXt_102
2517630976.0,2517580800.0,5035211776.0,51603456.0,48.79,"{'Total scalar accesses': 7552792576.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 5035261952.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 2569011200.0, 'Op per Byte': 0.98}","{'Total scalar accesses': 5044996096.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 178275328.0, 'Op per Byte': 14.12}","{'Total scalar accesses': 52734976.0, 'Op per Byte': 47.74}",32.0,9.52,157351936.0,16165.69,2540000.0,0.0,2517630976.0,398.55,182.19,182.19,182.19,2228.86,565.88,2681.12,6420.99,ConvNeXt_103
49.0,42.0,91.0,63.0,0.72,"{'Total scalar accesses': 91.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 98.0, 'Op per Byte': 0.46}","{'Total scalar accesses': 98.0, 'Op per Byte': 0.46}","{'Total scalar accesses': 7.0, 'Op per Byte': 6.5}",{},{},"{'Total scalar accesses': 63.0, 'Op per Byte': 0.72}",13.0,4.17,7.0,0.01,6.13e-08,0.0,49.0,398.55,156.17,182.19,182.19,223.25,0.48,177632.65,178775.49,ConvNeXt_104
49.0,42.0,91.0,63.0,0.72,"{'Total scalar accesses': 91.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 98.0, 'Op per Byte': 0.46}","{'Total scalar accesses': 98.0, 'Op per Byte': 0.46}","{'Total scalar accesses': 7.0, 'Op per Byte': 6.5}",{},{},"{'Total scalar accesses': 63.0, 'Op per Byte': 0.72}",13.0,4.17,7.0,0.01,6.13e-08,0.0,49.0,398.55,156.17,182.19,182.19,223.25,0.48,177632.65,178775.49,ConvNeXt_105
