total_elementwise_ops,total_reduction_ops,total_ops,total_memory_accesses_required,optimal_op_per_byte,psum_spad_intensity,weights_spad_intensity,ifmap_spad_intensity,inter_PE_spatial_intensity,inter_PE_column_spatial_intensity,shared_glb_intensity,DRAM_intensity,GFLOPs (@1GHz),Utilization (%),Cycles,Energy (uJ),EDP(J*cycle),Area (mm^2),Computes,mac fJ/compute,psum_spad fJ/compute,weights_spad fJ/compute,ifmap_spad fJ/compute,shared_glb fJ/compute,DRAM fJ/compute,Total fJ/compute,layer
116195328.0,116044032.0,232239360.0,892416.0,32.53,"{'Total scalar accesses': 261136896.0, 'Op per Byte': 0.44}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 125878272.0, 'Op per Byte': 1.84}",{},{},"{'Total scalar accesses': 58854144.0, 'Op per Byte': 3.95}","{'Total scalar accesses': 1043712.0, 'Op per Byte': 27.81}",31.98,12.5,7262208.0,1529.61,11100.0,0.0,116195328.0,262.78,3795.84,2504.45,978.19,1023.89,4598.98,13164.12,ViT_10
116195328.0,116044032.0,232239360.0,892416.0,32.53,"{'Total scalar accesses': 261136896.0, 'Op per Byte': 0.44}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 125878272.0, 'Op per Byte': 1.84}",{},{},"{'Total scalar accesses': 58854144.0, 'Op per Byte': 3.95}","{'Total scalar accesses': 1043712.0, 'Op per Byte': 27.81}",31.98,12.5,7262208.0,1529.61,11100.0,0.0,116195328.0,262.78,3795.84,2504.45,978.19,1023.89,4598.98,13164.12,ViT_11
151296.0,150528.0,301824.0,15740.0,2.4,"{'Total scalar accesses': 452352.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 163904.0, 'Op per Byte': 1.84}","{'Total scalar accesses': 189120.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 306552.0, 'Op per Byte': 0.98}","{'Total scalar accesses': 15740.0, 'Op per Byte': 2.4}",31.43,12.31,9604.0,10.04,0.0965,0.0,151296.0,262.78,4969.24,2689.84,1110.01,4092.27,53265.65,66389.79,ViT_12
465708.0,463344.0,929052.0,43537.0,2.67,"{'Total scalar accesses': 1392396.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 504517.0, 'Op per Byte': 1.84}","{'Total scalar accesses': 931416.0, 'Op per Byte': 1.0}",{},{},"{'Total scalar accesses': 1397124.0, 'Op per Byte': 0.66}","{'Total scalar accesses': 43537.0, 'Op per Byte': 2.67}",1.99,0.78,465708.0,29.71,13.8,0.0,465708.0,262.78,4969.22,2689.79,1703.1,6316.32,47864.64,63805.84,ViT_13
116195328.0,116044032.0,232239360.0,892416.0,32.53,"{'Total scalar accesses': 261136896.0, 'Op per Byte': 0.44}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 125878272.0, 'Op per Byte': 1.84}",{},{},"{'Total scalar accesses': 58854144.0, 'Op per Byte': 3.95}","{'Total scalar accesses': 1043712.0, 'Op per Byte': 27.81}",31.98,12.5,7262208.0,1529.61,11100.0,0.0,116195328.0,262.78,3795.84,2504.45,978.19,1023.89,4598.98,13164.12,ViT_14
464781312.0,464176128.0,928957440.0,3115776.0,37.27,"{'Total scalar accesses': 1043337216.0, 'Op per Byte': 0.45}","{'Total scalar accesses': 467140608.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 580976640.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 131022336.0, 'Op per Byte': 7.09}","{'Total scalar accesses': 3872256.0, 'Op per Byte': 29.99}",31.98,12.5,29048832.0,5814.96,169000.0,0.0,464781312.0,262.78,3791.41,2504.45,1109.99,576.9,4265.65,12511.18,ViT_15
464781312.0,464630016.0,929411328.0,3115776.0,37.29,"{'Total scalar accesses': 985239552.0, 'Op per Byte': 0.47}","{'Total scalar accesses': 467140608.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 619708416.0, 'Op per Byte': 1.5}",{},{},"{'Total scalar accesses': 93198336.0, 'Op per Byte': 9.97}","{'Total scalar accesses': 4628736.0, 'Op per Byte': 25.1}",31.99,12.5,29048832.0,6080.53,177000.0,0.0,464781312.0,262.78,3593.7,2504.45,1175.89,446.75,5098.98,13082.55,ViT_16
116195328.0,116044032.0,232239360.0,892416.0,32.53,"{'Total scalar accesses': 261136896.0, 'Op per Byte': 0.44}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 125878272.0, 'Op per Byte': 1.84}",{},{},"{'Total scalar accesses': 58854144.0, 'Op per Byte': 3.95}","{'Total scalar accesses': 1043712.0, 'Op per Byte': 27.81}",31.98,12.5,7262208.0,1529.61,11100.0,0.0,116195328.0,262.78,3795.84,2504.45,978.19,1023.89,4598.98,13164.12,ViT_17
116195328.0,116044032.0,232239360.0,892416.0,32.53,"{'Total scalar accesses': 261136896.0, 'Op per Byte': 0.44}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 125878272.0, 'Op per Byte': 1.84}",{},{},"{'Total scalar accesses': 58854144.0, 'Op per Byte': 3.95}","{'Total scalar accesses': 1043712.0, 'Op per Byte': 27.81}",31.98,12.5,7262208.0,1529.61,11100.0,0.0,116195328.0,262.78,3795.84,2504.45,978.19,1023.89,4598.98,13164.12,ViT_18
116195328.0,116044032.0,232239360.0,892416.0,32.53,"{'Total scalar accesses': 261136896.0, 'Op per Byte': 0.44}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 125878272.0, 'Op per Byte': 1.84}",{},{},"{'Total scalar accesses': 58854144.0, 'Op per Byte': 3.95}","{'Total scalar accesses': 1043712.0, 'Op per Byte': 27.81}",31.98,12.5,7262208.0,1529.61,11100.0,0.0,116195328.0,262.78,3795.84,2504.45,978.19,1023.89,4598.98,13164.12,ViT_19
151296.0,150528.0,301824.0,15740.0,2.4,"{'Total scalar accesses': 452352.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 163904.0, 'Op per Byte': 1.84}","{'Total scalar accesses': 189120.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 306552.0, 'Op per Byte': 0.98}","{'Total scalar accesses': 15740.0, 'Op per Byte': 2.4}",31.43,12.31,9604.0,10.04,0.0965,0.0,151296.0,262.78,4969.24,2689.84,1110.01,4092.27,53265.65,66389.79,ViT_20
465708.0,463344.0,929052.0,43537.0,2.67,"{'Total scalar accesses': 1392396.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 504517.0, 'Op per Byte': 1.84}","{'Total scalar accesses': 931416.0, 'Op per Byte': 1.0}",{},{},"{'Total scalar accesses': 1397124.0, 'Op per Byte': 0.66}","{'Total scalar accesses': 43537.0, 'Op per Byte': 2.67}",1.99,0.78,465708.0,29.71,13.8,0.0,465708.0,262.78,4969.22,2689.79,1703.1,6316.32,47864.64,63805.84,ViT_21
116195328.0,116044032.0,232239360.0,892416.0,32.53,"{'Total scalar accesses': 261136896.0, 'Op per Byte': 0.44}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 125878272.0, 'Op per Byte': 1.84}",{},{},"{'Total scalar accesses': 58854144.0, 'Op per Byte': 3.95}","{'Total scalar accesses': 1043712.0, 'Op per Byte': 27.81}",31.98,12.5,7262208.0,1529.61,11100.0,0.0,116195328.0,262.78,3795.84,2504.45,978.19,1023.89,4598.98,13164.12,ViT_22
464781312.0,464176128.0,928957440.0,3115776.0,37.27,"{'Total scalar accesses': 1043337216.0, 'Op per Byte': 0.45}","{'Total scalar accesses': 467140608.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 580976640.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 131022336.0, 'Op per Byte': 7.09}","{'Total scalar accesses': 3872256.0, 'Op per Byte': 29.99}",31.98,12.5,29048832.0,5814.96,169000.0,0.0,464781312.0,262.78,3791.41,2504.45,1109.99,576.9,4265.65,12511.18,ViT_23
464781312.0,464630016.0,929411328.0,3115776.0,37.29,"{'Total scalar accesses': 985239552.0, 'Op per Byte': 0.47}","{'Total scalar accesses': 467140608.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 619708416.0, 'Op per Byte': 1.5}",{},{},"{'Total scalar accesses': 93198336.0, 'Op per Byte': 9.97}","{'Total scalar accesses': 4628736.0, 'Op per Byte': 25.1}",31.99,12.5,29048832.0,6080.53,177000.0,0.0,464781312.0,262.78,3593.7,2504.45,1175.89,446.75,5098.98,13082.55,ViT_24
116195328.0,116044032.0,232239360.0,892416.0,32.53,"{'Total scalar accesses': 261136896.0, 'Op per Byte': 0.44}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 125878272.0, 'Op per Byte': 1.84}",{},{},"{'Total scalar accesses': 58854144.0, 'Op per Byte': 3.95}","{'Total scalar accesses': 1043712.0, 'Op per Byte': 27.81}",31.98,12.5,7262208.0,1529.61,11100.0,0.0,116195328.0,262.78,3795.84,2504.45,978.19,1023.89,4598.98,13164.12,ViT_25
116195328.0,116044032.0,232239360.0,892416.0,32.53,"{'Total scalar accesses': 261136896.0, 'Op per Byte': 0.44}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 125878272.0, 'Op per Byte': 1.84}",{},{},"{'Total scalar accesses': 58854144.0, 'Op per Byte': 3.95}","{'Total scalar accesses': 1043712.0, 'Op per Byte': 27.81}",31.98,12.5,7262208.0,1529.61,11100.0,0.0,116195328.0,262.78,3795.84,2504.45,978.19,1023.89,4598.98,13164.12,ViT_26
116195328.0,116044032.0,232239360.0,892416.0,32.53,"{'Total scalar accesses': 261136896.0, 'Op per Byte': 0.44}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 125878272.0, 'Op per Byte': 1.84}",{},{},"{'Total scalar accesses': 58854144.0, 'Op per Byte': 3.95}","{'Total scalar accesses': 1043712.0, 'Op per Byte': 27.81}",31.98,12.5,7262208.0,1529.61,11100.0,0.0,116195328.0,262.78,3795.84,2504.45,978.19,1023.89,4598.98,13164.12,ViT_27
151296.0,150528.0,301824.0,15740.0,2.4,"{'Total scalar accesses': 452352.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 163904.0, 'Op per Byte': 1.84}","{'Total scalar accesses': 189120.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 306552.0, 'Op per Byte': 0.98}","{'Total scalar accesses': 15740.0, 'Op per Byte': 2.4}",31.43,12.31,9604.0,10.04,0.0965,0.0,151296.0,262.78,4969.24,2689.84,1110.01,4092.27,53265.65,66389.79,ViT_28
465708.0,463344.0,929052.0,43537.0,2.67,"{'Total scalar accesses': 1392396.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 504517.0, 'Op per Byte': 1.84}","{'Total scalar accesses': 931416.0, 'Op per Byte': 1.0}",{},{},"{'Total scalar accesses': 1397124.0, 'Op per Byte': 0.66}","{'Total scalar accesses': 43537.0, 'Op per Byte': 2.67}",1.99,0.78,465708.0,29.71,13.8,0.0,465708.0,262.78,4969.22,2689.79,1703.1,6316.32,47864.64,63805.84,ViT_29
116195328.0,116044032.0,232239360.0,892416.0,32.53,"{'Total scalar accesses': 261136896.0, 'Op per Byte': 0.44}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 125878272.0, 'Op per Byte': 1.84}",{},{},"{'Total scalar accesses': 58854144.0, 'Op per Byte': 3.95}","{'Total scalar accesses': 1043712.0, 'Op per Byte': 27.81}",31.98,12.5,7262208.0,1529.61,11100.0,0.0,116195328.0,262.78,3795.84,2504.45,978.19,1023.89,4598.98,13164.12,ViT_30
464781312.0,464176128.0,928957440.0,3115776.0,37.27,"{'Total scalar accesses': 1043337216.0, 'Op per Byte': 0.45}","{'Total scalar accesses': 467140608.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 580976640.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 131022336.0, 'Op per Byte': 7.09}","{'Total scalar accesses': 3872256.0, 'Op per Byte': 29.99}",31.98,12.5,29048832.0,5814.96,169000.0,0.0,464781312.0,262.78,3791.41,2504.45,1109.99,576.9,4265.65,12511.18,ViT_31
464781312.0,464630016.0,929411328.0,3115776.0,37.29,"{'Total scalar accesses': 985239552.0, 'Op per Byte': 0.47}","{'Total scalar accesses': 467140608.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 619708416.0, 'Op per Byte': 1.5}",{},{},"{'Total scalar accesses': 93198336.0, 'Op per Byte': 9.97}","{'Total scalar accesses': 4628736.0, 'Op per Byte': 25.1}",31.99,12.5,29048832.0,6080.53,177000.0,0.0,464781312.0,262.78,3593.7,2504.45,1175.89,446.75,5098.98,13082.55,ViT_32
116195328.0,116044032.0,232239360.0,892416.0,32.53,"{'Total scalar accesses': 261136896.0, 'Op per Byte': 0.44}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 125878272.0, 'Op per Byte': 1.84}",{},{},"{'Total scalar accesses': 58854144.0, 'Op per Byte': 3.95}","{'Total scalar accesses': 1043712.0, 'Op per Byte': 27.81}",31.98,12.5,7262208.0,1529.61,11100.0,0.0,116195328.0,262.78,3795.84,2504.45,978.19,1023.89,4598.98,13164.12,ViT_33
116195328.0,116044032.0,232239360.0,892416.0,32.53,"{'Total scalar accesses': 261136896.0, 'Op per Byte': 0.44}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 125878272.0, 'Op per Byte': 1.84}",{},{},"{'Total scalar accesses': 58854144.0, 'Op per Byte': 3.95}","{'Total scalar accesses': 1043712.0, 'Op per Byte': 27.81}",31.98,12.5,7262208.0,1529.61,11100.0,0.0,116195328.0,262.78,3795.84,2504.45,978.19,1023.89,4598.98,13164.12,ViT_34
116195328.0,116044032.0,232239360.0,892416.0,32.53,"{'Total scalar accesses': 261136896.0, 'Op per Byte': 0.44}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 125878272.0, 'Op per Byte': 1.84}",{},{},"{'Total scalar accesses': 58854144.0, 'Op per Byte': 3.95}","{'Total scalar accesses': 1043712.0, 'Op per Byte': 27.81}",31.98,12.5,7262208.0,1529.61,11100.0,0.0,116195328.0,262.78,3795.84,2504.45,978.19,1023.89,4598.98,13164.12,ViT_35
151296.0,150528.0,301824.0,15740.0,2.4,"{'Total scalar accesses': 452352.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 163904.0, 'Op per Byte': 1.84}","{'Total scalar accesses': 189120.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 306552.0, 'Op per Byte': 0.98}","{'Total scalar accesses': 15740.0, 'Op per Byte': 2.4}",31.43,12.31,9604.0,10.04,0.0965,0.0,151296.0,262.78,4969.24,2689.84,1110.01,4092.27,53265.65,66389.79,ViT_36
465708.0,463344.0,929052.0,43537.0,2.67,"{'Total scalar accesses': 1392396.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 504517.0, 'Op per Byte': 1.84}","{'Total scalar accesses': 931416.0, 'Op per Byte': 1.0}",{},{},"{'Total scalar accesses': 1397124.0, 'Op per Byte': 0.66}","{'Total scalar accesses': 43537.0, 'Op per Byte': 2.67}",1.99,0.78,465708.0,29.71,13.8,0.0,465708.0,262.78,4969.22,2689.79,1703.1,6316.32,47864.64,63805.84,ViT_37
116195328.0,116044032.0,232239360.0,892416.0,32.53,"{'Total scalar accesses': 261136896.0, 'Op per Byte': 0.44}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 125878272.0, 'Op per Byte': 1.84}",{},{},"{'Total scalar accesses': 58854144.0, 'Op per Byte': 3.95}","{'Total scalar accesses': 1043712.0, 'Op per Byte': 27.81}",31.98,12.5,7262208.0,1529.61,11100.0,0.0,116195328.0,262.78,3795.84,2504.45,978.19,1023.89,4598.98,13164.12,ViT_38
464781312.0,464176128.0,928957440.0,3115776.0,37.27,"{'Total scalar accesses': 1043337216.0, 'Op per Byte': 0.45}","{'Total scalar accesses': 467140608.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 580976640.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 131022336.0, 'Op per Byte': 7.09}","{'Total scalar accesses': 3872256.0, 'Op per Byte': 29.99}",31.98,12.5,29048832.0,5814.96,169000.0,0.0,464781312.0,262.78,3791.41,2504.45,1109.99,576.9,4265.65,12511.18,ViT_39
464781312.0,464630016.0,929411328.0,3115776.0,37.29,"{'Total scalar accesses': 985239552.0, 'Op per Byte': 0.47}","{'Total scalar accesses': 467140608.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 619708416.0, 'Op per Byte': 1.5}",{},{},"{'Total scalar accesses': 93198336.0, 'Op per Byte': 9.97}","{'Total scalar accesses': 4628736.0, 'Op per Byte': 25.1}",31.99,12.5,29048832.0,6080.53,177000.0,0.0,464781312.0,262.78,3593.7,2504.45,1175.89,446.75,5098.98,13082.55,ViT_40
116195328.0,116044032.0,232239360.0,892416.0,32.53,"{'Total scalar accesses': 261136896.0, 'Op per Byte': 0.44}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 125878272.0, 'Op per Byte': 1.84}",{},{},"{'Total scalar accesses': 58854144.0, 'Op per Byte': 3.95}","{'Total scalar accesses': 1043712.0, 'Op per Byte': 27.81}",31.98,12.5,7262208.0,1529.61,11100.0,0.0,116195328.0,262.78,3795.84,2504.45,978.19,1023.89,4598.98,13164.12,ViT_41
116195328.0,116044032.0,232239360.0,892416.0,32.53,"{'Total scalar accesses': 261136896.0, 'Op per Byte': 0.44}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 125878272.0, 'Op per Byte': 1.84}",{},{},"{'Total scalar accesses': 58854144.0, 'Op per Byte': 3.95}","{'Total scalar accesses': 1043712.0, 'Op per Byte': 27.81}",31.98,12.5,7262208.0,1529.61,11100.0,0.0,116195328.0,262.78,3795.84,2504.45,978.19,1023.89,4598.98,13164.12,ViT_42
116195328.0,116044032.0,232239360.0,892416.0,32.53,"{'Total scalar accesses': 261136896.0, 'Op per Byte': 0.44}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 125878272.0, 'Op per Byte': 1.84}",{},{},"{'Total scalar accesses': 58854144.0, 'Op per Byte': 3.95}","{'Total scalar accesses': 1043712.0, 'Op per Byte': 27.81}",31.98,12.5,7262208.0,1529.61,11100.0,0.0,116195328.0,262.78,3795.84,2504.45,978.19,1023.89,4598.98,13164.12,ViT_43
151296.0,150528.0,301824.0,15740.0,2.4,"{'Total scalar accesses': 452352.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 163904.0, 'Op per Byte': 1.84}","{'Total scalar accesses': 189120.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 306552.0, 'Op per Byte': 0.98}","{'Total scalar accesses': 15740.0, 'Op per Byte': 2.4}",31.43,12.31,9604.0,10.04,0.0965,0.0,151296.0,262.78,4969.24,2689.84,1110.01,4092.27,53265.65,66389.79,ViT_44
465708.0,463344.0,929052.0,43537.0,2.67,"{'Total scalar accesses': 1392396.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 504517.0, 'Op per Byte': 1.84}","{'Total scalar accesses': 931416.0, 'Op per Byte': 1.0}",{},{},"{'Total scalar accesses': 1397124.0, 'Op per Byte': 0.66}","{'Total scalar accesses': 43537.0, 'Op per Byte': 2.67}",1.99,0.78,465708.0,29.71,13.8,0.0,465708.0,262.78,4969.22,2689.79,1703.1,6316.32,47864.64,63805.84,ViT_45
116195328.0,116044032.0,232239360.0,892416.0,32.53,"{'Total scalar accesses': 261136896.0, 'Op per Byte': 0.44}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 125878272.0, 'Op per Byte': 1.84}",{},{},"{'Total scalar accesses': 58854144.0, 'Op per Byte': 3.95}","{'Total scalar accesses': 1043712.0, 'Op per Byte': 27.81}",31.98,12.5,7262208.0,1529.61,11100.0,0.0,116195328.0,262.78,3795.84,2504.45,978.19,1023.89,4598.98,13164.12,ViT_46
464781312.0,464176128.0,928957440.0,3115776.0,37.27,"{'Total scalar accesses': 1043337216.0, 'Op per Byte': 0.45}","{'Total scalar accesses': 467140608.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 580976640.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 131022336.0, 'Op per Byte': 7.09}","{'Total scalar accesses': 3872256.0, 'Op per Byte': 29.99}",31.98,12.5,29048832.0,5814.96,169000.0,0.0,464781312.0,262.78,3791.41,2504.45,1109.99,576.9,4265.65,12511.18,ViT_47
464781312.0,464630016.0,929411328.0,3115776.0,37.29,"{'Total scalar accesses': 985239552.0, 'Op per Byte': 0.47}","{'Total scalar accesses': 467140608.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 619708416.0, 'Op per Byte': 1.5}",{},{},"{'Total scalar accesses': 93198336.0, 'Op per Byte': 9.97}","{'Total scalar accesses': 4628736.0, 'Op per Byte': 25.1}",31.99,12.5,29048832.0,6080.53,177000.0,0.0,464781312.0,262.78,3593.7,2504.45,1175.89,446.75,5098.98,13082.55,ViT_48
116195328.0,116044032.0,232239360.0,892416.0,32.53,"{'Total scalar accesses': 261136896.0, 'Op per Byte': 0.44}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 125878272.0, 'Op per Byte': 1.84}",{},{},"{'Total scalar accesses': 58854144.0, 'Op per Byte': 3.95}","{'Total scalar accesses': 1043712.0, 'Op per Byte': 27.81}",31.98,12.5,7262208.0,1529.61,11100.0,0.0,116195328.0,262.78,3795.84,2504.45,978.19,1023.89,4598.98,13164.12,ViT_49
